"","date","species","count","notes","year"
"1",2000-06-07,"herg",0,NA,2000
"2",2000-06-07,"gbbg",0,NA,2000
"3",2000-06-07,"coei_ad",0,NA,2000
"4",2000-06-07,"coei_ju",0,NA,2000
"5",2000-06-07,"blgu",0,NA,2000
"6",2000-06-07,"puffin",0,NA,2000
"7",2000-06-07,"dcco",0,NA,2000
"8",2000-06-07,"ternsp",0,NA,2000
"9",2000-06-07,"razo",0,NA,2000
"10",2000-06-07,"lagu",0,NA,2000
"11",2000-06-07,"comu",0,NA,2000
"12",2000-06-07,"baea",0,NA,2000
"13",2000-06-07,"noga",0,NA,2000
"14",2000-06-07,"corvid",0,NA,2000
"15",2000-06-07,"peepsp",0,NA,2000
"16",2000-06-07,"seals",0,NA,2000
"17",2000-06-07,"colo",0,NA,2000
"18",2000-06-07,"cago",0,NA,2000
"19",2000-06-07,"porpoise",0,NA,2000
"20",2000-06-07,"raptor",0,NA,2000
"21",2000-06-07,"gbhe",0,NA,2000
"22",2000-06-07,"scoter",0,NA,2000
"23",2000-06-07,"shearwater",0,NA,2000
"24",2000-06-07,"wisp",0,NA,2000
"25",2000-06-07,"lbbg",0,NA,2000
"26",2000-06-08,"herg",136,"cormorant off south point, eagle at 7:20",2000
"27",2000-06-08,"gbbg",0,"cormorant off south point, eagle at 7:20",2000
"28",2000-06-08,"coei_ad",36,"cormorant off south point, eagle at 7:20",2000
"29",2000-06-08,"coei_ju",0,"cormorant off south point, eagle at 7:20",2000
"30",2000-06-08,"blgu",347,"cormorant off south point, eagle at 7:20",2000
"31",2000-06-08,"puffin",0,"cormorant off south point, eagle at 7:20",2000
"32",2000-06-08,"dcco",0,"cormorant off south point, eagle at 7:20",2000
"33",2000-06-08,"ternsp",0,"cormorant off south point, eagle at 7:20",2000
"34",2000-06-08,"razo",0,"cormorant off south point, eagle at 7:20",2000
"35",2000-06-08,"lagu",0,"cormorant off south point, eagle at 7:20",2000
"36",2000-06-08,"comu",0,"cormorant off south point, eagle at 7:20",2000
"37",2000-06-08,"baea",0,"cormorant off south point, eagle at 7:20",2000
"38",2000-06-08,"noga",0,"cormorant off south point, eagle at 7:20",2000
"39",2000-06-08,"corvid",0,"cormorant off south point, eagle at 7:20",2000
"40",2000-06-08,"peepsp",0,"cormorant off south point, eagle at 7:20",2000
"41",2000-06-08,"seals",0,"cormorant off south point, eagle at 7:20",2000
"42",2000-06-08,"colo",0,"cormorant off south point, eagle at 7:20",2000
"43",2000-06-08,"cago",0,"cormorant off south point, eagle at 7:20",2000
"44",2000-06-08,"porpoise",0,"cormorant off south point, eagle at 7:20",2000
"45",2000-06-08,"raptor",0,"cormorant off south point, eagle at 7:20",2000
"46",2000-06-08,"gbhe",0,"cormorant off south point, eagle at 7:20",2000
"47",2000-06-08,"scoter",0,"cormorant off south point, eagle at 7:20",2000
"48",2000-06-08,"shearwater",0,"cormorant off south point, eagle at 7:20",2000
"49",2000-06-08,"wisp",0,"cormorant off south point, eagle at 7:20",2000
"50",2000-06-08,"lbbg",0,"cormorant off south point, eagle at 7:20",2000
"51",2000-06-09,"herg",142,NA,2000
"52",2000-06-09,"gbbg",0,NA,2000
"53",2000-06-09,"coei_ad",33,NA,2000
"54",2000-06-09,"coei_ju",3,NA,2000
"55",2000-06-09,"blgu",273,NA,2000
"56",2000-06-09,"puffin",0,NA,2000
"57",2000-06-09,"dcco",0,NA,2000
"58",2000-06-09,"ternsp",0,NA,2000
"59",2000-06-09,"razo",0,NA,2000
"60",2000-06-09,"lagu",0,NA,2000
"61",2000-06-09,"comu",0,NA,2000
"62",2000-06-09,"baea",0,NA,2000
"63",2000-06-09,"noga",0,NA,2000
"64",2000-06-09,"corvid",0,NA,2000
"65",2000-06-09,"peepsp",0,NA,2000
"66",2000-06-09,"seals",0,NA,2000
"67",2000-06-09,"colo",0,NA,2000
"68",2000-06-09,"cago",0,NA,2000
"69",2000-06-09,"porpoise",0,NA,2000
"70",2000-06-09,"raptor",0,NA,2000
"71",2000-06-09,"gbhe",0,NA,2000
"72",2000-06-09,"scoter",0,NA,2000
"73",2000-06-09,"shearwater",0,NA,2000
"74",2000-06-09,"wisp",0,NA,2000
"75",2000-06-09,"lbbg",0,NA,2000
"76",2000-06-10,"herg",122,"Lots of commorants",2000
"77",2000-06-10,"gbbg",0,"Lots of commorants",2000
"78",2000-06-10,"coei_ad",64,"Lots of commorants",2000
"79",2000-06-10,"coei_ju",0,"Lots of commorants",2000
"80",2000-06-10,"blgu",402,"Lots of commorants",2000
"81",2000-06-10,"puffin",0,"Lots of commorants",2000
"82",2000-06-10,"dcco",0,"Lots of commorants",2000
"83",2000-06-10,"ternsp",0,"Lots of commorants",2000
"84",2000-06-10,"razo",0,"Lots of commorants",2000
"85",2000-06-10,"lagu",0,"Lots of commorants",2000
"86",2000-06-10,"comu",0,"Lots of commorants",2000
"87",2000-06-10,"baea",0,"Lots of commorants",2000
"88",2000-06-10,"noga",0,"Lots of commorants",2000
"89",2000-06-10,"corvid",0,"Lots of commorants",2000
"90",2000-06-10,"peepsp",0,"Lots of commorants",2000
"91",2000-06-10,"seals",0,"Lots of commorants",2000
"92",2000-06-10,"colo",0,"Lots of commorants",2000
"93",2000-06-10,"cago",0,"Lots of commorants",2000
"94",2000-06-10,"porpoise",0,"Lots of commorants",2000
"95",2000-06-10,"raptor",0,"Lots of commorants",2000
"96",2000-06-10,"gbhe",0,"Lots of commorants",2000
"97",2000-06-10,"scoter",0,"Lots of commorants",2000
"98",2000-06-10,"shearwater",0,"Lots of commorants",2000
"99",2000-06-10,"wisp",0,"Lots of commorants",2000
"100",2000-06-10,"lbbg",0,"Lots of commorants",2000
"101",2000-06-11,"herg",67,NA,2000
"102",2000-06-11,"gbbg",0,NA,2000
"103",2000-06-11,"coei_ad",88,NA,2000
"104",2000-06-11,"coei_ju",0,NA,2000
"105",2000-06-11,"blgu",297,NA,2000
"106",2000-06-11,"puffin",0,NA,2000
"107",2000-06-11,"dcco",0,NA,2000
"108",2000-06-11,"ternsp",0,NA,2000
"109",2000-06-11,"razo",0,NA,2000
"110",2000-06-11,"lagu",0,NA,2000
"111",2000-06-11,"comu",0,NA,2000
"112",2000-06-11,"baea",0,NA,2000
"113",2000-06-11,"noga",0,NA,2000
"114",2000-06-11,"corvid",0,NA,2000
"115",2000-06-11,"peepsp",0,NA,2000
"116",2000-06-11,"seals",0,NA,2000
"117",2000-06-11,"colo",0,NA,2000
"118",2000-06-11,"cago",0,NA,2000
"119",2000-06-11,"porpoise",0,NA,2000
"120",2000-06-11,"raptor",0,NA,2000
"121",2000-06-11,"gbhe",0,NA,2000
"122",2000-06-11,"scoter",0,NA,2000
"123",2000-06-11,"shearwater",0,NA,2000
"124",2000-06-11,"wisp",0,NA,2000
"125",2000-06-11,"lbbg",0,NA,2000
"126",2000-06-12,"herg",88,NA,2000
"127",2000-06-12,"gbbg",0,NA,2000
"128",2000-06-12,"coei_ad",63,NA,2000
"129",2000-06-12,"coei_ju",8,NA,2000
"130",2000-06-12,"blgu",249,NA,2000
"131",2000-06-12,"puffin",0,NA,2000
"132",2000-06-12,"dcco",0,NA,2000
"133",2000-06-12,"ternsp",0,NA,2000
"134",2000-06-12,"razo",0,NA,2000
"135",2000-06-12,"lagu",0,NA,2000
"136",2000-06-12,"comu",0,NA,2000
"137",2000-06-12,"baea",0,NA,2000
"138",2000-06-12,"noga",0,NA,2000
"139",2000-06-12,"corvid",0,NA,2000
"140",2000-06-12,"peepsp",0,NA,2000
"141",2000-06-12,"seals",0,NA,2000
"142",2000-06-12,"colo",0,NA,2000
"143",2000-06-12,"cago",0,NA,2000
"144",2000-06-12,"porpoise",0,NA,2000
"145",2000-06-12,"raptor",0,NA,2000
"146",2000-06-12,"gbhe",0,NA,2000
"147",2000-06-12,"scoter",0,NA,2000
"148",2000-06-12,"shearwater",0,NA,2000
"149",2000-06-12,"wisp",0,NA,2000
"150",2000-06-12,"lbbg",0,NA,2000
"151",2000-06-13,"herg",148,NA,2000
"152",2000-06-13,"gbbg",0,NA,2000
"153",2000-06-13,"coei_ad",91,NA,2000
"154",2000-06-13,"coei_ju",17,NA,2000
"155",2000-06-13,"blgu",274,NA,2000
"156",2000-06-13,"puffin",0,NA,2000
"157",2000-06-13,"dcco",0,NA,2000
"158",2000-06-13,"ternsp",0,NA,2000
"159",2000-06-13,"razo",0,NA,2000
"160",2000-06-13,"lagu",0,NA,2000
"161",2000-06-13,"comu",0,NA,2000
